tool		SPF Friday 15 August 2025 03:01:02 AM IST	SPF Friday 15 August 2025 03:01:02 AM IST	SPF Friday 15 August 2025 03:01:02 AM IST	SPF Friday 15 August 2025 03:01:02 AM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringBuilderChars06.yml	true	unknown	1.979564	2.0189189290003924	55.365632
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	2.740057	2.757720354000412	100.573184
jbmc-regression/StringBuilderConstructors02.yml	true	unknown	1.819823	1.8358475519999047	53.284864
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.475414	2.498381471999892	56.868864
jbmc-regression/StringBuilderInsertDelete02.yml	true	unknown	1.832557	1.8504321330001403	53.817344
jbmc-regression/StringBuilderInsertDelete03.yml	true	unknown	1.852325	1.8555459750004957	53.739520
jbmc-regression/StringCompare01.yml	true	true	2.331911	2.34313026899963	54.013952
jbmc-regression/StringCompare02.yml	true	unknown	1.760691	1.7833934399995997	54.984704
jbmc-regression/StringCompare03.yml	true	unknown	2.300062	2.3114236519995757	56.438784
jbmc-regression/StringCompare04.yml	true	unknown	1.82129	1.8418369330001951	55.152640
jbmc-regression/StringCompare05.yml	true	unknown	2.267316	2.2903282090001085	53.952512
jbmc-regression/StringConcatenation01.yml	true	true	2.187993	2.1924946629997066	80.568320
jbmc-regression/StringConcatenation02.yml	true	unknown	2.640636	2.657914876000177	81.158144
jbmc-regression/StringConcatenation03.yml	true	unknown	2.130423	2.1540225329999885	81.260544
jbmc-regression/StringConcatenation04.yml	true	unknown	2.658202	2.6721979559997635	81.424384
jbmc-regression/StringConstructors01.yml	true	true	2.014985	2.033946680000554	54.575104
jbmc-regression/StringConstructors02.yml	true	unknown	2.12892	2.132537169999523	80.515072
jbmc-regression/StringConstructors03.yml	true	unknown	2.661426	2.6866149210000003	81.551360
jbmc-regression/StringConstructors04.yml	true	unknown	2.029152	2.043192609000471	80.523264
jbmc-regression/StringConstructors05.yml	true	unknown	2.683382	2.707564897999873	82.030592
jbmc-regression/StringContains01.yml	true	unknown	2.076185	2.087423289999606	80.957440
jbmc-regression/StringContains02.yml	true	unknown	2.617525	2.632653849000235	83.976192
jbmc-regression/StringIndexMethods01.yml	true	true	1.815795	1.8196785280006225	53.800960
jbmc-regression/StringIndexMethods02.yml	true	unknown	2.156659	2.1600741539996307	103.030784
jbmc-regression/StringIndexMethods03.yml	true	unknown	2.631357	2.6358577490000243	98.865152
jbmc-regression/StringIndexMethods04.yml	true	TIMEOUT	901.051288	907.9538136929996	498.089984
jbmc-regression/StringIndexMethods05.yml	true	unknown	2.705201	2.7194504839999354	98.324480
jbmc-regression/StringMiscellaneous01.yml	true	true	2.5284	2.5369233769997663	53.325824
jbmc-regression/StringMiscellaneous02.yml	true	unknown	3.009957	3.015309890000026	117.239808
jbmc-regression/StringMiscellaneous03.yml	false	unknown	2.984054	2.9991350380005315	102.707200
jbmc-regression/StringMiscellaneous04.yml	true	true	2.435318	2.464113091999934	55.947264
jbmc-regression/StringStartEnd01.yml	true	true	2.378744	2.399496486999851	53.952512
jbmc-regression/StringStartEnd02.yml	true	unknown	2.878512	2.8934916629996223	81.940480
jbmc-regression/StringStartEnd03.yml	true	unknown	2.896251	2.910529838000002	81.694720
jbmc-regression/StringValueOf01.yml	true	true	2.499098	2.514811154999734	53.424128
jbmc-regression/StringValueOf02.yml	false	unknown	1.601071	1.6161189379999996	52.969472
jbmc-regression/StringValueOf03.yml	false	unknown	2.557987	2.6068103249999695	55.922688
jbmc-regression/StringValueOf04.yml	true	unknown	2.779921	2.8105447160005497	82.157568
jbmc-regression/StringValueOf05.yml	true	unknown	3.011271	3.0740469270003814	101.302272
jbmc-regression/StringValueOf06.yml	true	unknown	2.911735	2.927525441999933	85.389312
jbmc-regression/StringValueOf07.yml	true	unknown	2.423652	2.445581081000455	53.776384
jbmc-regression/StringValueOf08.yml	false	unknown	2.671842	2.6857666850000896	77.647872
jbmc-regression/StringValueOf09.yml	false	unknown	2.841522	2.851813884999501	79.630336
jbmc-regression/StringValueOf10.yml	true	unknown	2.755632	2.7799896030001037	82.460672
jbmc-regression/SubString01.yml	true	true	2.371049	2.3818748700005017	56.463360
jbmc-regression/SubString02.yml	false	unknown	2.800382	2.8247554169993236	81.510400
jbmc-regression/SubString03.yml	false	unknown	2.869326	2.8896044690000053	81.002496
jbmc-regression/TokenTest01.yml	true	true	2.466574	2.4889800619994276	54.771712
jbmc-regression/TokenTest02.yml	true	unknown	2.442131	2.4606902109999282	55.693312
jbmc-regression/Validate01.yml	true	true	2.450142	2.4724061389997587	55.259136
jbmc-regression/Validate02.yml	true	unknown	2.581897	2.596960503000446	52.862976
jbmc-regression/aastore_aaload1.yml	true	unknown	2.860531	2.865435271000024	100.347904
jbmc-regression/array1.yml	true	unknown	3.146669	3.151426266999806	100.528128
jbmc-regression/array2.yml	true	true	3.389478	3.411032534999322	113.553408
jbmc-regression/arraylength1.yml	true	unknown	3.247561	3.2754838549999477	100.605952
jbmc-regression/arrayread1.yml	true	unknown	2.912459	2.9290030249994743	101.445632
jbmc-regression/assert1.yml	true	true	3.19229	3.2084147770001437	108.879872
jbmc-regression/assert2.yml	true	unknown	2.845814	2.865780308000467	100.655104
jbmc-regression/assert3.yml	true	unknown	2.968314	2.996763550000651	101.101568
jbmc-regression/assert4.yml	true	unknown	2.948286	2.9629778959997566	121.163776
jbmc-regression/assert5.yml	true	true	2.299642	2.327702780000436	113.565696
jbmc-regression/assert6.yml	true	true	3.007052	3.0203613450003104	100.306944
jbmc-regression/astore_aload1.yml	true	true	1.927242	1.9433234150001226	56.713216
jbmc-regression/athrow1.yml	true	unknown	2.187707	2.2090819880004346	54.067200
jbmc-regression/basic1.yml	true	true	2.31242	2.321488880999823	54.448128
jbmc-regression/bitwise1.yml	true	unknown	2.200219	2.205805393000446	98.525184
jbmc-regression/boolean1.yml	true	true	2.157294	2.1723652410000795	100.589568
jbmc-regression/boolean2.yml	true	true	2.577294	2.594522669000071	100.315136
jbmc-regression/bug-test-gen-095.yml	true	unknown	2.20086	2.2496090000004187	80.248832
jbmc-regression/bug-test-gen-119-2.yml	true	true	1.884016	1.9217102379998323	55.689216
jbmc-regression/bug-test-gen-119.yml	true	unknown	2.835206	2.9018754950002403	102.154240
jbmc-regression/calc.yml	true	unknown	2.249385	2.3345817970002827	101.367808
jbmc-regression/cast1.yml	true	unknown	2.940795	2.9671412839998084	117.264384
jbmc-regression/catch1.yml	true	true	1.878039	1.905582172999857	55.975936
jbmc-regression/char1.yml	true	unknown	2.179126	2.1950673930004996	102.481920
jbmc-regression/charArray.yml	true	unknown	2.463402	2.493563381000058	101.888000
jbmc-regression/classtest1.yml	true	true	2.29512	2.3236346200001208	53.354496
jbmc-regression/const1.yml	true	true	2.11012	2.1286033430005773	52.953088
jbmc-regression/constructor1.yml	true	true	1.964472	1.981509496000399	57.700352
jbmc-regression/enum1.yml	true	true	2.128711	2.142609079000067	53.002240
jbmc-regression/exceptions1.yml	true	unknown	2.054059	2.0756477580007413	59.387904
jbmc-regression/exceptions10.yml	true	unknown	2.280185	2.3195607900006507	54.812672
jbmc-regression/exceptions11.yml	true	unknown	1.986652	2.007950312000503	54.968320
jbmc-regression/exceptions12.yml	true	unknown	2.188007	2.2022574769998755	54.685696
jbmc-regression/exceptions13.yml	true	unknown	2.054531	2.0753347330000906	55.824384
jbmc-regression/exceptions14.yml	true	true	1.876794	1.9060214809996978	53.932032
jbmc-regression/exceptions15.yml	true	true	2.340112	2.3768545650000306	52.641792
jbmc-regression/exceptions16.yml	true	unknown	2.259265	2.295897076000074	55.951360
jbmc-regression/exceptions18.yml	true	true	2.224751	2.2506194060006237	53.694464
jbmc-regression/exceptions2.yml	true	unknown	2.081815	2.129695596999227	53.710848
jbmc-regression/exceptions3.yml	true	unknown	1.898589	1.922205355999722	54.005760
jbmc-regression/exceptions4.yml	true	true	2.33986	2.4176909009993324	53.334016
jbmc-regression/exceptions5.yml	true	true	2.016535	2.044043736999811	56.082432
jbmc-regression/exceptions6.yml	true	unknown	2.130107	2.149907770000027	52.875264
jbmc-regression/exceptions7.yml	true	unknown	2.017605	2.025870161999592	53.706752
jbmc-regression/exceptions8.yml	true	unknown	1.950112	1.966616859000169	53.485568
jbmc-regression/exceptions9.yml	true	true	2.012862	2.0332253460001084	53.465088
jbmc-regression/fcmpx_dcmpx1.yml	true	true	2.127472	2.1523271409996596	53.813248
jbmc-regression/iarith1.yml	true	true	2.17542	2.1897954519999985	54.702080
jbmc-regression/iarith2.yml	true	true	2.1055	2.119948712000223	55.869440
jbmc-regression/if_acmp1.yml	true	true	2.017531	2.029684121000173	56.123392
jbmc-regression/if_expr1.yml	true	true	2.414452	2.4663210939997953	100.507648
jbmc-regression/if_icmp1.yml	true	true	2.926028	3.0041970759994	102.662144
jbmc-regression/ifxx1.yml	true	true	2.008146	2.0692002490004597	53.723136
jbmc-regression/instanceof1.yml	true	true	2.151051	2.1792938610005876	54.861824
jbmc-regression/instanceof2.yml	true	true	1.885569	1.9496461640001144	53.489664
jbmc-regression/instanceof3.yml	true	true	2.056894	2.068335199000103	53.858304
jbmc-regression/instanceof4.yml	true	true	1.948645	1.96529058500073	53.481472
jbmc-regression/instanceof5.yml	true	true	2.141735	2.1708324000001085	53.633024
jbmc-regression/instanceof6.yml	true	true	1.946262	1.9711437619998833	56.451072
jbmc-regression/instanceof7.yml	true	true	2.321681	2.3518506820000766	54.259712
jbmc-regression/instanceof8.yml	true	true	1.93739	1.9632281079993845	53.547008
jbmc-regression/interface1.yml	true	unknown	2.224583	2.23970199499945	56.066048
jbmc-regression/java_append_char.yml	true	unknown	2.327623	2.3444658899998103	101.113856
jbmc-regression/lazyloading4.yml	true	true	2.259347	2.2794458030002716	55.205888
jbmc-regression/list1.yml	true	unknown	2.960243	2.9775714759998664	107.294720
jbmc-regression/long1.yml	true	true	1.825945	1.8464025789999141	53.760000
jbmc-regression/lookupswitch1.yml	true	true	3.531283	3.5524676750001163	114.806784
jbmc-regression/multinewarray.yml	true	true	1.879484	1.8965919700003724	53.616640
jbmc-regression/overloading1.yml	true	true	2.19255	2.2176376430006712	53.989376
jbmc-regression/package1.yml	true	true	2.009148	2.0314125650002097	53.055488
jbmc-regression/putfield_getfield1.yml	true	true	2.326215	2.355958677999297	54.910976
jbmc-regression/putstatic_getstatic1.yml	true	true	1.911604	1.9358417220000774	54.824960
jbmc-regression/recursion2.yml	true	true	2.092158	2.111828019999848	54.833152
jbmc-regression/return1.yml	true	unknown	1.727334	1.7403502589995696	53.600256
jbmc-regression/return2.yml	true	unknown	2.087607	2.101526730999467	100.499456
jbmc-regression/store_load1.yml	true	true	2.223574	2.23617230400032	53.882880
jbmc-regression/swap1.yml	true	true	1.688589	1.7099226350001118	54.239232
jbmc-regression/synchronized.yml	true	true	2.070358	2.091375879000225	53.760000
jbmc-regression/tableswitch1.yml	true	true	2.901828	2.9056696739999097	102.518784
jbmc-regression/uninitialised1.yml	true	true	1.63655	1.6594255979998707	53.018624
jbmc-regression/virtual1.yml	true	true	1.633511	1.6471186079998006	53.747712
jbmc-regression/virtual2.yml	true	unknown	2.235823	2.2417769210005645	53.264384
