tool		SPF Monday 11 August 2025 06:41:43 PM IST	SPF Monday 11 August 2025 06:41:43 PM IST	SPF Monday 11 August 2025 06:41:43 PM IST	SPF Monday 11 August 2025 06:41:43 PM IST
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	2.956203	2.9767445949999	102.064128
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	2.464957	2.4756070260000342	53.567488
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.531944	2.53656054399994	53.235712
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	2.447119	2.4563477189999503	55.816192
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	2.777412	2.792595001000109	52.846592
jbmc-regression/StringCompare01.yml	true	true	2.595239	2.6097575940000297	55.054336
jbmc-regression/StringCompare02.yml	false	unknown	2.572568	2.597103742000172	54.931456
jbmc-regression/StringCompare03.yml	false	unknown	2.583746	2.601588892000109	55.365632
jbmc-regression/StringCompare04.yml	false	unknown	2.423222	2.4335445560000153	52.977664
jbmc-regression/StringCompare05.yml	false	false	2.425909	2.4493826299999455	55.947264
jbmc-regression/StringConcatenation01.yml	true	true	3.012077	3.026051081999867	83.259392
jbmc-regression/StringConcatenation02.yml	false	false	2.744484	2.768386302999943	80.302080
jbmc-regression/StringConcatenation03.yml	false	false	3.116003	3.1340764560000025	90.779648
jbmc-regression/StringConcatenation04.yml	false	false	2.903128	2.9274809410001126	83.144704
jbmc-regression/StringConstructors01.yml	true	true	2.675102	2.6986509850000857	55.062528
jbmc-regression/StringConstructors02.yml	false	false	2.959407	2.975323499000069	82.558976
jbmc-regression/StringConstructors03.yml	false	false	3.049826	3.072390528000142	81.104896
jbmc-regression/StringConstructors04.yml	false	false	3.079933	3.0916193660000317	80.527360
jbmc-regression/StringConstructors05.yml	false	false	2.904203	2.9171122359998662	82.219008
jbmc-regression/StringContains01.yml	false	false	2.962	2.9671824009999455	82.391040
jbmc-regression/StringContains02.yml	false	false	3.075746	3.0906896700000743	80.523264
jbmc-regression/StringIndexMethods01.yml	true	true	2.762301	2.782869374000029	54.996992
jbmc-regression/StringIndexMethods02.yml	false	false	3.04496	3.056539310000062	103.407616
jbmc-regression/StringIndexMethods03.yml	false	unknown	2.914977	2.9297032389999913	99.852288
jbmc-regression/StringIndexMethods04.yml	false	TIMEOUT	900.852465	901.0069271270002	498.524160
jbmc-regression/StringIndexMethods05.yml	false	unknown	2.925485	2.930288507999876	98.488320
jbmc-regression/StringMiscellaneous01.yml	true	true	2.561175	2.5739855910001097	53.989376
jbmc-regression/StringMiscellaneous02.yml	false	false	2.927965	2.9426158570001917	103.849984
jbmc-regression/StringMiscellaneous03.yml	false	false	2.079743	2.0835544490000757	101.965824
jbmc-regression/StringMiscellaneous04.yml	true	true	2.233598	2.257693935999896	54.800384
jbmc-regression/StringStartEnd01.yml	true	true	1.767944	1.7914076609999938	54.775808
jbmc-regression/StringStartEnd02.yml	false	false	2.745941	2.7596017740002026	82.898944
jbmc-regression/StringStartEnd03.yml	false	false	2.22441	2.237365860999944	82.681856
jbmc-regression/StringValueOf01.yml	true	true	2.348933	2.364221110000017	53.559296
jbmc-regression/StringValueOf02.yml	false	unknown	1.198184	1.212331003999907	52.539392
jbmc-regression/StringValueOf03.yml	false	false	1.751469	1.7644301380000798	53.493760
jbmc-regression/StringValueOf04.yml	false	false	2.530037	2.550318880000077	81.690624
jbmc-regression/StringValueOf05.yml	false	false	2.158855	2.172460780999927	101.748736
jbmc-regression/StringValueOf06.yml	false	false	2.638351	2.662561111000059	79.925248
jbmc-regression/StringValueOf07.yml	false	unknown	1.831426	1.8482323769999311	54.059008
jbmc-regression/StringValueOf08.yml	false	unknown	2.578127	2.5917553899998893	77.398016
jbmc-regression/StringValueOf09.yml	false	unknown	2.029216	2.0338476360000186	77.664256
jbmc-regression/StringValueOf10.yml	false	false	2.72297	2.7468534080001064	85.782528
jbmc-regression/SubString01.yml	true	true	1.784821	1.805313678999937	53.374976
jbmc-regression/SubString02.yml	false	false	1.957793	1.961550829000089	82.685952
jbmc-regression/SubString03.yml	false	false	2.883321	2.9029631890000474	89.890816
jbmc-regression/TokenTest01.yml	true	true	1.853247	1.88013689599984	61.841408
jbmc-regression/TokenTest02.yml	false	unknown	2.355093	2.378323301999899	53.927936
jbmc-regression/Validate01.yml	true	true	1.769503	1.7794003829999383	54.222848
jbmc-regression/Validate02.yml	false	unknown	1.73386	1.7467619770000056	54.079488
jbmc-regression/aastore_aaload1.yml	true	unknown	2.618177	2.6305873450000945	100.384768
jbmc-regression/array1.yml	true	unknown	2.804935	2.819266609999886	101.011456
jbmc-regression/array2.yml	true	true	2.168183	2.1782428009998966	100.450304
jbmc-regression/arraylength1.yml	true	unknown	2.520176	2.524700287999849	100.892672
jbmc-regression/arrayread1.yml	true	unknown	2.704728	2.718438383000148	100.810752
jbmc-regression/assert1.yml	true	true	2.054561	2.0578728780001256	109.662208
jbmc-regression/assert2.yml	false	false	2.710399	2.7310576840000067	101.527552
jbmc-regression/assert3.yml	false	false	2.668914	2.6835760199999186	101.634048
jbmc-regression/assert4.yml	false	false	2.212021	2.2353100800000902	109.322240
jbmc-regression/assert5.yml	true	true	2.89125	2.903455003999852	113.119232
jbmc-regression/assert6.yml	true	true	2.182803	2.196155417	113.537024
jbmc-regression/astore_aload1.yml	true	true	2.275366	2.298984965000045	53.481472
jbmc-regression/athrow1.yml	false	false	1.85668	1.878220894000151	54.341632
jbmc-regression/basic1.yml	true	true	2.226304	2.241792601000043	53.948416
jbmc-regression/bitwise1.yml	true	unknown	2.560204	2.5649216029999025	97.562624
jbmc-regression/boolean1.yml	true	true	2.098659	2.11218520899979	101.019648
jbmc-regression/boolean2.yml	true	true	2.589506	2.6038292380001167	101.433344
jbmc-regression/bug-test-gen-095.yml	false	false	2.578022	2.5866757710000456	80.900096
jbmc-regression/bug-test-gen-119-2.yml	true	true	1.826447	1.8387823299999582	53.051392
jbmc-regression/bug-test-gen-119.yml	true	false	2.576355	2.5989582619999965	101.371904
jbmc-regression/calc.yml	true	unknown	2.885833	2.904315663000034	118.067200
jbmc-regression/cast1.yml	true	unknown	2.159047	2.1688739279998117	102.141952
jbmc-regression/catch1.yml	true	true	1.725103	1.7380058559999725	54.661120
jbmc-regression/char1.yml	true	unknown	2.547511	2.572761659999969	102.985728
jbmc-regression/charArray.yml	true	unknown	2.121528	2.1439709310000126	114.917376
jbmc-regression/classtest1.yml	true	true	2.045958	2.059482219000074	53.293056
jbmc-regression/const1.yml	true	true	1.725704	1.7449656859998868	53.047296
jbmc-regression/constructor1.yml	true	true	1.632831	1.6522791399997914	54.108160
jbmc-regression/enum1.yml	true	true	1.984222	2.004862855999818	54.784000
jbmc-regression/exceptions1.yml	false	false	1.627804	1.6305539810000482	53.792768
jbmc-regression/exceptions10.yml	false	false	2.003763	2.026614036999945	53.313536
jbmc-regression/exceptions11.yml	false	false	1.617806	1.63655691200006	53.522432
jbmc-regression/exceptions12.yml	false	false	1.557159	1.5766667890000008	54.841344
jbmc-regression/exceptions13.yml	false	false	1.551197	1.5684004719998939	54.726656
jbmc-regression/exceptions14.yml	true	true	1.466747	1.4796315819999108	54.525952
jbmc-regression/exceptions15.yml	true	true	1.942591	1.9643861100000777	53.055488
jbmc-regression/exceptions16.yml	false	false	1.575873	1.594889405999993	52.998144
jbmc-regression/exceptions18.yml	true	true	1.962769	1.9788263299999471	55.476224
jbmc-regression/exceptions2.yml	false	false	1.524176	1.5450303400000394	53.981184
jbmc-regression/exceptions3.yml	false	false	1.510623	1.531959026000095	54.001664
jbmc-regression/exceptions4.yml	true	true	1.582589	1.6018850190000649	53.370880
jbmc-regression/exceptions5.yml	true	true	1.544399	1.5529725540000072	55.799808
jbmc-regression/exceptions6.yml	false	false	1.982937	2.001010051000094	54.124544
jbmc-regression/exceptions7.yml	false	false	1.9831	2.0059484660000635	53.641216
jbmc-regression/exceptions8.yml	false	false	1.496455	1.4993970279999758	53.075968
jbmc-regression/exceptions9.yml	true	true	1.53504	1.5578116090000549	53.338112
jbmc-regression/fcmpx_dcmpx1.yml	true	true	1.547411	1.5591427879999173	53.567488
jbmc-regression/iarith1.yml	true	true	1.556488	1.5781494269999712	52.858880
jbmc-regression/iarith2.yml	true	true	1.947047	1.9702925389999564	53.645312
jbmc-regression/if_acmp1.yml	true	true	1.947698	1.9590498950001347	53.350400
jbmc-regression/if_expr1.yml	true	true	1.769096	1.7721859860000677	100.818944
jbmc-regression/if_icmp1.yml	true	true	1.933625	1.9449380920000294	101.019648
jbmc-regression/ifxx1.yml	true	true	1.544798	1.5577435980001155	53.096448
jbmc-regression/instanceof1.yml	true	true	1.526842	1.5479369619999943	53.170176
jbmc-regression/instanceof2.yml	true	true	1.904655	1.9266899700000977	53.506048
jbmc-regression/instanceof3.yml	true	true	1.4778	1.500879912000073	53.596160
jbmc-regression/instanceof4.yml	true	true	1.430166	1.434553729000072	52.776960
jbmc-regression/instanceof5.yml	true	true	1.863103	1.8757840880000458	53.379072
jbmc-regression/instanceof6.yml	true	true	1.524932	1.5411493750000318	52.969472
jbmc-regression/instanceof7.yml	true	true	1.514777	1.5242988380000497	55.009280
jbmc-regression/instanceof8.yml	true	true	1.559967	1.578712835999795	54.996992
