tool		SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	2.170255	2.228567354999541	101.044224
jbmc-regression/StringBuilderConstructors02.yml	true	unknown	1.717581	1.7325221900027827	57.044992
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	1.972061	1.9908852169974125	59.604992
jbmc-regression/StringBuilderInsertDelete02.yml	true	unknown	2.002234	2.011789543001214	56.020992
jbmc-regression/StringBuilderInsertDelete03.yml	true	unknown	2.04358	2.04677103299764	57.524224
jbmc-regression/StringCompare01.yml	true	true	1.750746	1.7614235850014666	54.005760
jbmc-regression/StringCompare02.yml	true	unknown	1.877514	1.8917374910015496	58.241024
jbmc-regression/StringCompare03.yml	true	unknown	2.120872	2.1393699799991737	58.208256
jbmc-regression/StringCompare04.yml	true	unknown	1.850803	1.8649828609995893	57.577472
jbmc-regression/StringCompare05.yml	true	true	2.074674	2.0900241099989216	55.980032
jbmc-regression/StringConcatenation01.yml	true	true	2.441639	2.460450951002713	80.662528
jbmc-regression/StringConcatenation02.yml	true	true	2.390427	2.4241551929990237	81.371136
jbmc-regression/StringConcatenation03.yml	true	true	2.56272	2.5763620030011225	84.606976
jbmc-regression/StringConcatenation04.yml	true	true	2.47843	2.500425460002589	92.553216
jbmc-regression/StringConstructors01.yml	true	true	2.110409	2.122150514001987	53.813248
jbmc-regression/StringConstructors02.yml	true	true	2.665507	2.6843877229985083	93.913088
jbmc-regression/StringConstructors03.yml	true	true	2.682945	2.711111930999323	94.089216
jbmc-regression/StringConstructors04.yml	true	true	2.315401	2.335444402000576	80.789504
jbmc-regression/StringConstructors05.yml	true	true	2.538603	2.579475406000711	95.760384
jbmc-regression/StringContains01.yml	true	true	2.369878	2.395793693998712	94.167040
jbmc-regression/StringContains02.yml	true	true	2.419085	2.4503999709995696	81.289216
jbmc-regression/StringIndexMethods01.yml	true	true	1.74636	1.7706177879990719	54.870016
jbmc-regression/StringIndexMethods02.yml	true	true	2.212907	2.2325267220003298	115.277824
jbmc-regression/StringIndexMethods03.yml	true	unknown	2.234016	2.249863238001126	97.722368
jbmc-regression/StringIndexMethods04.yml	true	TIMEOUT	900.218972	901.0045680639996	533.471232
jbmc-regression/StringIndexMethods05.yml	true	unknown	1.729827	1.7389721279978403	98.824192
jbmc-regression/StringMiscellaneous01.yml	true	true	2.084449	2.097972857001878	55.046144
jbmc-regression/StringMiscellaneous02.yml	true	true	2.060888	2.0839365309984714	117.796864
jbmc-regression/StringMiscellaneous03.yml	false	false	3.098221	3.105517088999477	104.751104
jbmc-regression/StringMiscellaneous04.yml	true	true	1.633645	1.656441826999071	55.427072
